fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url
2025-11-29 17:37:19;La Reina;casa;Dos Casas En La Reina Alta;17100;CLF;4 dormitorios;5 baños;254 m² útiles;4 dormitorios | 5 baños | 254 m² útiles;Pintor Pacheco Altamirano, La Reina, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Sin Comisión - Casa La Reina Alta 5d 4b Quincho-piscina     ;18100;CLF;5 dormitorios;4 baños;185 m² útiles;5 dormitorios | 4 baños | 185 m² útiles;Onofre Jarpa 10629, 7860086 Santiago, La Reina, Región Metropolitana, Chile, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Mejor Ubicación - 235/640m2 - Como Nueva;19900;CLF;5 dormitorios;4 baños;235 m² útiles;5 dormitorios | 4 baños | 235 m² útiles;Alvaro Casanova 500, La Reina, La Reina;
2025-11-29 17:37:19;La Reina;casa;Estupenda Casa Solida 3d+2b Y Servicios En La Reina;9850;CLF;4 dormitorios;3 baños;158 m² útiles;4 dormitorios | 3 baños | 158 m² útiles;Las Crisálidas, La Reina, Troncos Viejos, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa Familiar Con Piscina, Quincho Y Oficina Vende Su Dueño;25300;CLF;8 dormitorios;6 baños;350 m² útiles;8 dormitorios | 6 baños | 350 m² útiles;Los Laureles 6961, La Reina, Pepe Vila, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa En Pasaje, Cercana A Metro, Andrée Y Grange.;8200;CLF;5 dormitorios;3 baños;125 m² útiles;5 dormitorios | 3 baños | 125 m² útiles;Los Corcolenes 7286, La Reina, Pepe Vila, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa 3 Dormitorios 2 Baños, En La Reina.;75000000;CLP;3 dormitorios;2 baños;40 m² útiles;3 dormitorios | 2 baños | 40 m² útiles;Chapiquiña 135, La Reina, Villa La Reina, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa En Venta De 5 Dorm. En La Reina;12500;CLF;5 dormitorios;4 baños;140 m² útiles;5 dormitorios | 4 baños | 140 m² útiles;"Casa Valenzuela Puelma - 4D &#43; 4B &#43; Escritorio, La Reina Alta, La Reina";
2025-11-29 17:37:19;La Reina;casa;Casa A Pasos Del Grange Remodelada Con Piscina;15900;CLF;4 dormitorios;3 baños;177 m² útiles;4 dormitorios | 3 baños | 177 m² útiles;Schiller 2100 - 2400, La Reina, Metro Príncipe De Gales - Country Club, La Reina;
2025-11-29 17:37:19;La Reina;casa;Ocho Casas En Condominio Nuevo 4d/4b/3e Julia Bernstein ;23990;CLF;4 dormitorios;4 baños;240 m² útiles;4 dormitorios | 4 baños | 240 m² útiles;Julia Bernstein, La Reina, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Cómoda Casa En Condominio En La Reina;12375;CLF;4 dormitorios;3 baños;147 m² útiles;4 dormitorios | 3 baños | 147 m² útiles;Helsby 9474, 7860017 La Reina, Región Metropolitana, Chile, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Estupenda Casa, Amplia, Luminosa Y En Excelente Estado;15600;CLF;3 dormitorios;3 baños;202 m² útiles;3 dormitorios | 3 baños | 202 m² útiles;M. EDWARDS - ENTRE PRÍNCIPE DE GALES Y FCO. BILBAO, Metro Príncipe De Gales - Country Club, La Reina;
2025-11-29 17:37:19;La Reina;casa;En Venta Casa Familiar Con Jardín Soñado Y Piscina.la Reina ;14000;CLF;5 dormitorios;3 baños;200 m² útiles;5 dormitorios | 3 baños | 200 m² útiles;Simón González 7222, 7.8504e+06 - 7.8507e+06 La Reina, Región Metropolitana, Chile, Palmas De Mallorca, La Reina;
2025-11-29 17:37:19;La Reina;casa;Linda Casa 4d2b, Excelente Sector, Cercana Comercios Y Serv;11400;CLF;4 dormitorios;2 baños;135 m² útiles;4 dormitorios | 2 baños | 135 m² útiles;Nva Tobalaba, La Reina, Blest Gana, La Reina;
2025-11-29 17:37:19;La Reina;casa;Casa En Venta De 4 Dorm. En La Reina;16990;CLF;4 dormitorios;4 baños;170 m² útiles;4 dormitorios | 4 baños | 170 m² útiles;Álvaro Casanova / María Monvel, La Reina Alta, La Reina;
2025-11-29 17:37:19;La Reina;casa;Espacios Perfectos Para Familias Con Niños, Rica Piscina.;12950;CLF;5 dormitorios;3 baños;138 m² útiles;5 dormitorios | 3 baños | 138 m² útiles;Pasaje 23 De Febrero, La Reina, Carlos Ossandón, La Reina;
2025-11-29 17:37:19;La Reina;casa;Linda Casa En Condominio Jose Zapiola ;13800;CLF;4 dormitorios;4 baños;155 m² útiles;4 dormitorios | 4 baños | 155 m² útiles;José Zapiola 7500 - 7800, Carlos Ossandón, La Reina;
